Date,amount
2021-01-05T10:36:37.573Z,18715
2021-01-05T10:36:37.573Z,18709
2020-10-20T05:09:35.470Z,18640
2020-10-20T05:09:35.470Z,18253
2020-09-16T17:12:22.287Z,18253
2020-09-16T17:12:32.324Z,18095
2021-01-05T10:36:37.573Z,17940
2020-09-16T17:12:32.324Z,17859
2020-09-16T17:12:32.324Z,17859
2021-01-05T10:36:37.573Z,17819
2021-01-05T10:36:37.573Z,17819
2020-09-16T17:12:22.287Z,17819
2020-09-16T17:12:22.287Z,17819
2020-09-16T17:12:22.287Z,17566
2020-09-16T17:12:22.287Z,17494
2021-01-05T10:36:37.573Z,17494
2021-01-05T10:36:37.573Z,17390
2020-09-16T17:12:22.287Z,17390
2020-11-10T12:39:32.643Z,17307
2021-01-05T10:36:37.573Z,17162
2020-09-16T17:12:22.287Z,17162
2021-01-05T10:36:37.573Z,17107
2020-09-16T17:12:22.287Z,17086
2020-09-16T17:12:22.287Z,17086
2020-09-16T17:12:22.287Z,17086
2020-09-16T17:12:22.287Z,16992
2020-09-16T17:12:22.287Z,16949
2021-01-05T10:36:37.573Z,16947
2020-09-16T17:12:22.287Z,16890
2020-09-16T17:12:22.287Z,16890
2020-11-10T12:39:32.643Z,16609
2021-01-05T10:36:37.573Z,16499
2021-01-05T10:36:37.573Z,16483
2021-01-05T10:36:37.573Z,16483
2020-09-16T17:12:22.287Z,16474
2020-09-16T17:12:22.287Z,16474
2020-09-16T17:12:32.324Z,16299
2020-09-16T17:12:22.287Z,16292
2020-09-16T17:12:22.287Z,16183
2021-01-05T10:36:37.573Z,16183
2020-09-16T17:12:22.287Z,16140
2020-09-16T17:12:32.324Z,16065
2020-09-16T17:12:32.324Z,16041
2020-09-16T17:12:32.324Z,15949
2020-09-16T17:12:22.287Z,15844
2020-09-16T17:12:22.287Z,15750
2021-01-05T10:36:37.573Z,15750
2020-09-16T17:12:32.324Z,15737
2020-09-16T17:12:32.324Z,15714
